진료년도,시도,시군구,성별,연령구분,환자수,입내원일수,요양급여비용
2018,서울,강남구,남,0~9세,0,0,0
2018,서울,강남구,남,10~19세,0,0,0
2018,서울,강남구,남,20~29세,0,0,0
2018,서울,강남구,남,30~39세,0,0,0
2018,서울,강남구,남,40~49세,0,0,0
2018,서울,강남구,남,50~59세,50,167,16086240
2018,서울,강남구,남,60~69세,150,627,77811550
2018,서울,강남구,남,70~79세,475,1746,189240020
2018,서울,강남구,남,80~89세,453,3703,332619900
2018,서울,강남구,남,90~99세,72,587,38643550
2018,서울,강남구,남,100세 이상,0,0,0
2018,서울,강남구,여,0~9세,0,0,0
2018,서울,강남구,여,10~19세,0,0,0
2018,서울,강남구,여,20~29세,0,0,0
2018,서울,강남구,여,30~39세,0,0,0
2018,서울,강남구,여,40~49세,0,0,0
2018,서울,강남구,여,50~59세,81,291,43038230
2018,서울,강남구,여,60~69세,210,633,76773770
2018,서울,강남구,여,70~79세,753,3778,381728090
2018,서울,강남구,여,80~89세,1037,9302,799978070
2018,서울,강남구,여,90~99세,242,7058,506703040
2018,서울,강남구,여,100세 이상,11,30,474620
2018,서울,강동구,남,0~9세,0,0,0
2018,서울,강동구,남,10~19세,0,0,0
2018,서울,강동구,남,20~29세,0,0,0
2018,서울,강동구,남,30~39세,0,0,0
2018,서울,강동구,남,40~49세,0,0,0
2018,서울,강동구,남,50~59세,32,473,42610260
2018,서울,강동구,남,60~69세,217,2282,290335180
2018,서울,강동구,남,70~79세,829,8658,832258430
2018,서울,강동구,남,80~89세,929,17033,1483361870
2018,서울,강동구,남,90~99세,174,5292,472127780
2018,서울,강동구,남,100세 이상,0,0,0
2018,서울,강동구,여,0~9세,0,0,0
2018,서울,강동구,여,10~19세,0,0,0
2018,서울,강동구,여,20~29세,0,0,0
2018,서울,강동구,여,30~39세,0,0,0
2018,서울,강동구,여,40~49세,0,0,0
2018,서울,강동구,여,50~59세,44,145,9874940
2018,서울,강동구,여,60~69세,252,2556,219812140
2018,서울,강동구,여,70~79세,932,9755,945192570
2018,서울,강동구,여,80~89세,1726,34556,2997431280
2018,서울,강동구,여,90~99세,395,11086,964684530
2018,서울,강동구,여,100세 이상,10,140,11651880
2018,서울,강서구,남,0~9세,0,0,0
2018,서울,강서구,남,10~19세,0,0,0
2018,서울,강서구,남,20~29세,0,0,0
2018,서울,강서구,남,30~39세,0,0,0
2018,서울,강서구,남,40~49세,0,0,0
2018,서울,강서구,남,50~59세,0,0,0
2018,서울,강서구,남,60~69세,55,940,68531500
2018,서울,강서구,남,70~79세,179,4736,340272880
2018,서울,강서구,남,80~89세,226,2599,153434030
2018,서울,강서구,남,90~99세,53,1320,92053820
