년도,시도,시군구,성별,환자수,입내원일수,요양급여비용
2018, 서울 , 강남구 , 남 ,1167,6857,655861780
2018, 서울 , 강남구 , 여 ,2257,21136,1816192790
2018, 서울 , 강동구 , 남 ,2120,33875,3137720170
2018, 서울 , 강동구 , 여 ,3232,58597,5193566920
2018, 서울 , 강서구 , 남 ,507,9923,678564930
2018, 서울 , 강서구 , 여 ,1504,44042,3033425420
2018, 서울 , 관악구 , 남 ,328,5087,361200670
2018, 서울 , 관악구 , 여 ,834,22373,1592885580
2018, 서울 , 구로구 , 남 ,699,13041,1033440720
2018, 서울 , 구로구 , 여 ,1770,43709,3237813940
2018, 서울 , 도봉구 , 남 ,1131,21937,1644352610
2018, 서울 , 도봉구 , 여 ,2535,59727,4416503610
2018, 서울 , 동대문구 , 남 ,1278,23075,2099802020
2018, 서울 , 동대문구 , 여 ,2688,60660,5111616920
2018, 서울 , 동작구 , 남 ,1156,9116,794097920
2018, 서울 , 동작구 , 여 ,2535,28907,2338458760
2018, 서울 , 마포구 , 남 ,247,3658,210771930
2018, 서울 , 마포구 , 여 ,541,10406,638571890
2018, 서울 , 서대문구 , 남 ,948,9622,824267060
2018, 서울 , 서대문구 , 여 ,1774,28502,2321391300
2018, 서울 , 성동구 , 남 ,595,6212,512197550
2018, 서울 , 성동구 , 여 ,1379,21215,1606632390
2018, 서울 , 성북구 , 남 ,621,12328,972987590
2018, 서울 , 성북구 , 여 ,1389,45558,3572816280
2018, 서울 , 영등포구 , 남 ,1403,28553,2450404530
2018, 서울 , 영등포구 , 여 ,2976,85255,6798300700
2018, 서울 , 용산구 , 남 ,267,1077,72361030
2018, 서울 , 용산구 , 여 ,679,2728,142021360
2018, 서울 , 은평구 , 남 ,1144,22065,1801768470
2018, 서울 , 은평구 , 여 ,2671,70367,5501749290
2018, 서울 , 종로구 , 남 ,1384,6027,562455820
2018, 서울 , 종로구 , 여 ,2768,10936,947889650
2018, 서울 , 중구 , 남 ,291,1069,66826860
2018, 서울 , 중구 , 여 ,685,2716,184752740
2018, 서울 , 송파구 , 남 ,835,13000,933418760
2018, 서울 , 송파구 , 여 ,1881,48032,3587623870
2018, 서울 , 중랑구 , 남 ,798,6968,523243540
2018, 서울 , 중랑구 , 여 ,1921,19774,1434209380
2018, 서울 , 양천구 , 남 ,918,6599,501325810
2018, 서울 , 양천구 , 여 ,2185,14890,1067195330
2018, 서울 , 서초구 , 남 ,968,6485,604361990
2018, 서울 , 서초구 , 여 ,2331,32555,2655619050
2018, 서울 , 노원구 , 남 ,1104,14672,1210470910
2018, 서울 , 노원구 , 여 ,2860,45554,3633741820
2018, 서울 , 광진구 , 남 ,1045,6829,584120860
2018, 서울 , 광진구 , 여 ,2274,22603,1645886240
2018, 서울 , 강북구 , 남 ,413,8999,617329170
2018, 서울 , 강북구 , 여 ,1018,41871,2995289080
2018, 서울 , 금천구 , 남 ,277,7530,584015220
2018, 서울 , 금천구 , 여 ,829,33555,2420760810
2018, 부산 , 부산남구 , 남 ,578,41622,3133467870
2018, 부산 , 부산남구 , 여 ,1541,167273,12677739570
2018, 부산 , 부산동구 , 남 ,752,21647,1573974710
2018, 부산 , 부산동구 , 여 ,1872,90409,6594751860
2018, 부산 , 부산동래구 , 남 ,950,78056,5867309030
2018, 부산 , 부산동래구 , 여 ,2745,307896,23078513280
2018, 부산 , 부산진구 , 남 ,1117,50135,3858808610
2018, 부산 , 부산진구 , 여 ,2955,222455,16406678580
2018, 부산 , 부산북구 , 남 ,672,63261,4523359990
2018, 부산 , 부산북구 , 여 ,2223,244868,17794475030
2018, 부산 , 부산서구 , 남 ,1106,24044,1889719930
2018, 부산 , 부산서구 , 여 ,2534,114136,8734571970
2018, 부산 , 부산영도구 , 남 ,377,23450,1744584140
2018, 부산 , 부산영도구 , 여 ,1052,106894,7981294550
2018, 부산 , 부산중구 , 남 ,289,22922,1742740630
2018, 부산 , 부산중구 , 여 ,860,98357,7320768250
2018, 부산 , 부산해운대구 , 남 ,987,56639,4193628340
2018, 부산 , 부산해운대구 , 여 ,2487,214210,16094540710
2018, 부산 , 부산사하구 , 남 ,995,107292,7793360110
2018, 부산 , 부산사하구 , 여 ,2813,420893,31033094130
2018, 부산 , 부산금정구 , 남 ,738,86466,6549985000
2018, 부산 , 부산금정구 , 여 ,2190,360497,27106359810
2018, 부산 , 부산강서구 , 남 ,57,2420,152284520
2018, 부산 , 부산강서구 , 여 ,204,10713,672357010
2018, 부산 , 부산연제구 , 남 ,705,58602,4376377540
2018, 부산 , 부산연제구 , 여 ,1982,261328,19513068350
2018, 부산 , 부산수영구 , 남 ,806,50433,3848383180
2018, 부산 , 부산수영구 , 여 ,2028,225969,16984697920
2018, 부산 , 부산사상구 , 남 ,1198,76428,5572801550
2018, 부산 , 부산사상구 , 여 ,1903,278220,20643911660
2018, 부산 , 부산기장군 , 남 ,343,18202,1318864880
2018, 부산 , 부산기장군 , 여 ,980,88499,6407759780
2018, 인천 , 인천미추홀구 , 남 ,1089,33068,2353881850
2018, 인천 , 인천미추홀구 , 여 ,2909,118442,8368461070
2018, 인천 , 인천동구 , 남 ,539,3508,174472620
2018, 인천 , 인천동구 , 여 ,1212,9098,291909140
2018, 인천 , 인천부평구 , 남 ,1156,19538,1454676870
2018, 인천 , 인천부평구 , 여 ,2669,72850,5409611250
2018, 인천 , 인천중구 , 남 ,579,13063,958013320
2018, 인천 , 인천중구 , 여 ,1392,43821,3143744130
2018, 인천 , 인천서구 , 남 ,1448,49120,3737227410
2018, 인천 , 인천서구 , 여 ,3634,105086,7658083870
